,level_0,index,frequency
0,0,0,0
1,1,H,0
2,2,#,0
3,3,.,0
4,4,2,0
5,5,),0
6,6,n,0
7,7,%,0
8,8,[,0
9,9,N,0
10,10,s,0
11,11,S,0
12,12,F,0
13,13,l,0
14,14,A,0
15,15,c,0
16,16,O,0
17,17,g,0
18,18,Z,0
19,19,7,0
20,20,-,0
21,21,@,0
22,22,X,0
23,23,C,0
24,24,+,0
25,25,/,0
26,26,4,0
27,27,3,0
28,28,G,0
29,29,5,0
30,30,a,0
31,31,d,0
32,32,o,0
33,33,K,0
34,34,W,0
35,35,\,0
36,36,8,0
37,37,b,0
38,38,9,0
39,39,L,0
40,40,P,0
41,41,p,0
42,42,*,0
43,43,e,0
44,44,t,0
45,45,=,0
46,46,V,0
47,47,],0
48,48,R,0
49,49,I,0
50,50,u,0
51,51,M,0
52,52,r,0
53,53,i,0
54,54,B,0
55,55,6,0
56,56,T,0
57,57,(,0
58,58,1,0
59,59,:,0
60,60,cc,24059451
61,61,CC,8869
62,62,O),9036694
63,63,c1,802352
64,64,=O),7063732
65,65,C(,6949416
66,66,c(,5908395
67,67,c2,5357637
68,68,H],4768094
69,69,[C,4485506
70,70,[C@,4474554
71,71,C(=O),4125007
72,72,C),4041254
73,73,c1cc,4009109
74,74,H](,2499255
75,75,c3,2361580
76,76,c2cc,2221827
77,77,[C@@,2176265
78,78,F),1957611
79,79,(=O),1788037
80,80,(C),1713433
81,81,2),1674209
82,82,c1ccc(,1517130
83,83,C(=O)N,1514083
84,84,1),1466947
85,85,CN,2169
86,86,cc(,1303348
87,87,[C@H](,1291584
88,88,cn,1238118
89,89,[C@@H](,1207105
90,90,CCCC,1183178
91,91,N),1180013
92,92,NC(=O),1176111
93,93,CO,11502
94,94,1CC,1006324
95,95,c3cc,972448
96,96,Cl,107696
97,97,)cc,923917
98,98,c1cccc,863998
99,99,[n,780169
100,100,[C@H],777013
101,101,c2cccc,775962
102,102,[C@@H],757732
103,103,3),747148
104,104,nc(,740673
105,105,[nH],730556
106,106,c1),714938
107,107,N(,705144
108,108,c4,700986
109,109,c2ccc(,658807
110,110,C1,122715
111,111,C(C),600710
112,112,c2ccccc2,587970
113,113,(F),559733
114,114,2CC,541980
115,115,Cl),507300
116,116,=C(,507272
117,117,S(=O),505561
118,118,c1cc(,500303
119,119,c1n,499891
120,120,n1,169015
121,121,S(=O)(=O),484249
122,122,OCC,4094
123,123,=C,2384
124,124,C(F),444970
125,125,CC(C),435668
126,126,c3cccc,420839
127,127,=O,419133
128,128,cc1,370415
129,129,C(F)(F),409995
130,130,c2n,395377
131,131,cc1),384910
132,132,CC(=O),378352
133,133,OC),372507
134,134,c2c(,365350
135,135,c1cccc(,351575
136,136,Cl)cc,347821
137,137,(C,345035
138,138,C(=O)N[C@@H](,337219
139,139,NC(=O)[C@H](,336752
140,140,c3ccccc3,322408
141,141,cccc,319946
142,142,[C@H]1,316250
143,143,c2),310015
144,144,c3ccc(,309149
145,145,(O),304275
146,146,N(CC,302898
147,147,C2,31690
148,148,(CC,301866
149,149,Cc1ccc(,294242
150,150,[C@@H]1,292776
151,151,3CC,289255
152,152,N1CC,286193
153,153,n2,279158
154,154,O=C(,271162
