,level_0,index,frequency
0,0,5,0
1,1,0,0
2,2,K,0
3,3,R,0
4,4,@,0
5,5,M,0
6,6,r,0
7,7,[,0
8,8,t,0
9,9,2,0
10,10,(,0
11,11,),0
12,12,8,0
13,13,3,0
14,14,V,0
15,15,.,0
16,16,g,0
17,17,4,0
18,18,],0
19,19,s,0
20,20,9,0
21,21,P,0
22,22,N,0
23,23,:,0
24,24,=,0
25,25,1,0
26,26,/,0
27,27,u,0
28,28,C,0
29,29,+,0
30,30,#,0
31,31,a,0
32,32,I,0
33,33,n,0
34,34,%,0
35,35,i,0
36,36,A,0
37,37,6,0
38,38,T,0
39,39,e,0
40,40,F,0
41,41,\,0
42,42,o,0
43,43,p,0
44,44,b,0
45,45,X,0
46,46,7,0
47,47,S,0
48,48,c,0
49,49,-,0
50,50,Z,0
51,51,l,0
52,52,B,0
53,53,H,0
54,54,O,0
55,55,L,0
56,56,cc,10073898
57,57,CC,410
58,58,O),4088952
59,59,(=,3440472
60,60,(=O),3141450
61,61,ccc,2546300
62,62,(C,2445313
63,63,C(=O),2102814
64,64,[C,1968643
65,65,[C@,1962590
66,66,H],1924333
67,67,c1,47598
68,68,)c,1385253
69,69,(C),1093980
70,70,c2,23654
71,71,ccccc,973612
72,72,[C@@,958676
73,73,[C@H],887746
74,74,c3,21757
75,75,[C@@H],848465
76,76,ccc(,829278
77,77,(CC,724478
78,78,NC(=O),689090
79,79,cc(,575416
80,80,C(=O)N,4891
81,81,c(,551321
82,82,=C,6129
83,83,)C,5657
84,84,CCCC,277
85,85,)cc,502890
86,86,OC,39549
87,87,c4,15365
88,88,CN,116
89,89,CO,617
90,90,F),385416
91,91,CCN,155
92,92,c1ccc(,336200
93,93,(O),316902
94,94,(F),315724
95,95,)c3,20664
96,96,)c2,20724
97,97,(=O)N,290752
98,98,cn,289545
99,99,)N,5251
100,100,)C(=O)N,14057
101,101,CCC,133
102,102,(Cl,270692
103,103,\C,476
104,104,)C(=O),257954
105,105,(C)C,26526
106,106,cc1,8242
107,107,S(=O),252115
108,108,)c4,14510
109,109,)n,220802
110,110,[n,218674
111,111,ccccc3,48821
112,112,cc2,1448
113,113,OC(=O),199905
114,114,ccccc2,23671
115,115,(N,194203
116,116,[nH],186289
117,117,OCC,2159
118,118,c5,5956
119,119,nc(,182198
120,120,cccc(,179533
121,121,S(=O)(=O),172459
122,122,COc1,168841
123,123,ccccc1,5056
124,124,c1ccc(cc1,165805
125,125,=O),165508
126,126,C1,3038
127,127,Cc1,163133
128,128,+],155711
129,129,cccc,152842
130,130,C2,1665
131,131,Cl,26477
132,132,CCN(CC,151805
133,133,NC(=O)[C@H],146792
134,134,(F)(F),145805
135,135,c3ccccc3,24896
136,136,c2ccc(,143760
137,137,ccccc4,44549
138,138,)c(,143191
139,139,C(=,140993
140,140,ccc2,135633
141,141,c2ccccc2,12999
142,142,n2,19267
143,143,\C=C,131341
144,144,cc3,788
145,145,n1,21593
146,146,[C@@H](C,124433
147,147,CC(C),120273
148,148,ccc(Cl,118366
149,149,c3ccc(,118202
150,150,[N,117607
151,151,[C@],116168
152,152,[C@@H]1,114983
153,153,[O,113217
154,154,[C@H](,113086
155,155,[O-,112623
156,156,[C@@],110211
157,157,[C@@H](,106798
158,158,[C@H]1,105441
159,159,F)cc,103981
160,160,C3,822
161,161,[C@@H](CC,100916
162,162,nn,100554
163,163,[N+],99136
164,164,ccc3,2725
165,165,CC1,1788
166,166,(CN,96026
167,167,)c5,4398
168,168,CC(=O)N,1793
169,169,c4ccccc4,19059
170,170,CCCN,556
171,171,)cc1,48889
172,172,Br,6025
173,173,ccc(Cl)cc,89137
174,174,NC(=O)C,1093
175,175,c1ccccc1,2857
176,176,=N,422
177,177,[C@H](O),85814
178,178,[C@H](C,85529
179,179,=O,116
180,180,[C@@H](O),83063
181,181,\C=C\,81986
182,182,CC(=O),81720
183,183,2)c3,81034
184,184,[O-],33651
185,185,c(C,78677
186,186,2C,669
187,187,[N+](=O),77897
188,188,)c1,69609
189,189,)CC,344
190,190,ccn,77094
191,191,N=C,75978
192,192,S(=O)(=O)N,631
193,193,3)c4,74632
194,194,\C(=,73323
195,195,)C(F)(F),72823
196,196,2CC,72511
197,197,3CC,71535
198,198,NC(=O)[C@H](CC,70080
199,199,NC(=O)N,195
200,200,nc2,297
201,201,cc4,495
202,202,c(N,68006
203,203,CN1,244
204,204,O=C,66109
205,205,)C2,3253
206,206,C(=N,65087
207,207,ccc1,62809
208,208,C),62384
209,209,c(C),61949
210,210,c6,1462
211,211,2),61314
212,212,#N,27437
213,213,4CC,60586
214,214,ccccc5,21237
215,215,c2n,59952
216,216,c4ccc(,59717
217,217,ccc(C,59013
218,218,CCCCCCCC,204
219,219,Oc1,58364
220,220,[C@H]2,57807
221,221,[C@@H](C),57682
222,222,ccc4,56493
223,223,3C,194
224,224,c[nH],55788
225,225,COC(=O),54928
226,226,)NC(=O),54371
227,227,c2ccc(cc2,54081
228,228,[C@@H]2,53870
229,229,(C(=O),52687
230,230,cccn,52095
231,231,1)c2,52006
232,232,C(F)(F),51752
233,233,CCCCC,148
234,234,NC(=O)[C@H](C,50994
235,235,%1,50874
236,236,(C)(C),50580
237,237,cc(OC,50564
238,238,COc1ccc(cc1,49819
239,239,3),49615
240,240,C=C,154
241,241,c1n,49249
242,242,Cl.,48219
243,243,nc(N,46986
244,244,(C)CC,46701
245,245,\C(=C,46464
246,246,cc(C,46000
247,247,n3,11501
248,248,[C@H]3,44775
249,249,c(O),44044
250,250,[C@H](C),43487
251,251,cc(Cl,42997
252,252,CCN(C,42848
253,253,C(=O)O),42670
254,254,)\,42650
255,255,)C(=O)N[C@@H](CC,42516
256,256,c2cc(,42270
257,257,COc1ccc(,41999
258,258,[C@H](CC,41235
259,259,CCC(CC,41073
260,260,)S(=O)(=O),40846
261,261,)S(=O)(=O)N,2688
262,262,[C@@H]3,40328
263,263,P(=O),40320
264,264,CCOC(=O),39894
265,265,)c(OC,39820
266,266,(C)(C)C,15589
267,267,N(C,39310
268,268,N1,1529
269,269,c1cccc(,38499
270,270,c2ccc3,38445
271,271,c3ccc(cc3,38301
272,272,2CCN(CC,38301
273,273,CCO,642
274,274,c5ccccc5,8778
275,275,C(=N)N,882
276,276,c1ccc2,36276
277,277,c1cc(,36117
278,278,)C(=O)O,5023
279,279,nc3,273
280,280,cs,35708
281,281,)C3,2106
282,282,ccc(C),35582
283,283,Oc3,35203
284,284,5CC,35074
285,285,CN(C,34773
286,286,)cc2,17544
287,287,)[N+](=O),34485
288,288,)c(Cl,33891
289,289,\N=C,33751
290,290,oc(,33738
291,291,4C,552
292,292,CN(C),33341
293,293,c3n,33104
294,294,N(CC,32996
295,295,cc(C),32872
296,296,)C(F)(F)F,17484
297,297,(=O)O),32753
298,298,SC,705
299,299,COc1cc(,32254
300,300,=CC,32199
301,301,c2c1,17907
302,302,[n+],32116
303,303,C(C,31793
304,304,4)c5,31748
305,305,c(Cl,31401
306,306,c2cccc(,30723
307,307,nc1,215
308,308,CN(CC,30390
309,309,CC(C)(C),30344
310,310,[C@]1,29900
311,311,OC1,293
312,312,)C1,3571
313,313,cc5,104
314,314,[C@@H](N,29142
315,315,(C)C),29117
316,316,cccs,29038
317,317,CCN1,231
318,318,C1=O),28918
319,319,2)C(=O),28578
320,320,[C@H](N,28463
321,321,cccc2,185
322,322,=C(N,28286
323,323,C4,1333
324,324,CS,27872
325,325,2CCCC,27652
326,326,S)N,27633
327,327,)c6,798
328,328,3CCCC,27387
329,329,c2cccc,27322
330,330,)cc3,13428
331,331,2C(=O),27188
332,332,c3cc(,26979
333,333,c1ccc(cc1)c2,26932
334,334,)C(=O)N[C@@H](C,26819
335,335,)n2,7196
336,336,CC(C)C,1163
337,337,(=N,26414
338,338,P(=O)(O),26347
339,339,C(=O)O,13829
340,340,ccc5,26340
341,341,\C(=N,26204
342,342,NS(=O)(=O),26103
343,343,ncn,25742
344,344,ccc(CN,25365
345,345,O=C(N,25320
346,346,CNC(=N)N,24935
347,347,3)C,425
348,348,O[C@H](C,24877
349,349,n4,7790
350,350,)c3ccc(,24496
351,351,)c(C,24298
352,352,[C@@H](O,24272
353,353,C2=O),23958
354,354,c7,460
355,355,NC(=O)c2,23785
356,356,[C@@H]4,23759
357,357,c3cccc,23728
