names,smarts
MCF1,[#6]=&!@[#6]-[#6]#[#7]
MCF2,[#6]=&!@[#6]-[#16](=[#8])=[#8]
MCF3,[#6]=&!@[#6&!H0]-&!@[#6](=[#8])-&!@[#7]
MCF4,"[H]C([H])([#6])[F,Cl,Br,I]"
MCF5,[#6]1-[#8]-[#6]-1
MCF6,[#6]-[#7]=[#6]=[#8]
MCF7,[#6&!H0]=[#8]
MCF8,"[#6](=&!@[#7&!H0])-&!@[#6,#7,#8,#16]"
MCF9,[#6]1-[#7]-[#6]-1
MCF10,[#6]~&!@[#7]~&!@[#7]~&!@[#6]
MCF11,[#7]=&!@[#7]
MCF12,[H][#6]-1=[#6]([H])-[#6]=[#6](-*)-[#8]-1
MCF13,[H][#6]-1=[#6]([H])-[#6]=[#6](-*)-[#16]-1
MCF14,"[#17,#35,#53]-c(:*):[!#1!#6]:*"
MCF15,[H][#7]([H])-[#6]-1=[#6]-[#6]=[#6]-[#6]=[#6]-1
MCF16,[#16]~[#16]
MCF17,[#7]~&!@[#7]~&!@[#7]
MCF18,[#7]-&!@[#6&!H0&!H1]-&!@[#7]
MCF19,[#6&!H0](-&!@[#8])-&!@[#8]
MCF20,[#35].[#35].[#35]
MCF21,[#17].[#17].[#17].[#17]
MCF22,[#9].[#9].[#9].[#9].[#9].[#9].[#9]
